Date,Total
Jan 2020,66.85
Feb 2020,66.06
Mar 2020,48.87
Apr 2020,27.48
May 2020,34.99
Jun 2020,41.20
Jul 2020,58.08
Aug 2020,67.63
Sep 2020,57.81
Oct 2020,55.64
Nov 2020,49.92
Dec 2020,58.76
Jan 2021,46.98
Feb 2021,43.13
Mar 2021,49.10
Apr 2021,51.12
May 2021,57.61
Jun 2021,58.91
Jul 2021,70.02
Aug 2021,80.01
Sep 2021,75.66
Oct 2021,80.71
Nov 2021,80.72
Dec 2021,83.15
Jan 2022,74.46
Feb 2022,71.70
Mar 2022,80.97
Apr 2022,86.15
May 2022,86.37
Jun 2022,86.83
Jul 2022,94.21
Aug 2022,97.67
Sep 2022,88.81
Oct 2022,90.69
Nov 2022,88.30
Dec 2022,102.74
Jan 2023,93.74
Feb 2023,89.21
Mar 2023,99.35
Apr 2023,100.01
May 2023,101.80
Jun 2023,100.80
Jul 2023,110.02
Aug 2023,110.56
Sep 2023,100.91
Oct 2023,98.35
Nov 2023,93.85
Dec 2023,101.40
Jan 2024,91.57
Feb 2024,90.16
Mar 2024,100.16
Apr 2024,98.77
May 2024,102.77
Jun 2024,102.41
Jul 2024,110.77
Aug 2024,114.89
Sep 2024,103.39
Oct 2024,103.33
Nov 2024,100.78
Dec 2024,107.32
Jan 2025,98.02